tic,gic_sub_industry,gic_industry,gic_group,gic_sector,naics_industry,naics_group,naiscs_sector,sic_industry,sic_group,sic_sector
MEI,45203020,452030,4520,45,334417,3344,33,3678,367,36
EVI,20107010,201070,2010,20,423850,4238,42,5080,508,50
SIEB,40203020,402030,4020,40,523120,5231,52,6211,621,62
MU,45301020,453010,4530,45,334413,3344,33,3674,367,36
ETR,55101010,551010,5510,55,22111,2211,22,4911,491,49
MSEX,55104010,551040,5510,55,221310,2213,22,4941,494,49
MLHR,20201060,202010,2020,20,3372,3372,33,2520,252,25
MSA,20201060,202010,2020,20,339113,3391,33,3842,384,38
MMM,20105010,201050,2010,20,322220,3222,32,2670,267,26
ALE,55101010,551010,5510,55,221111,2211,22,4931,493,49
MOD,25101010,251010,2510,25,336390,3363,33,3714,371,37
MNR,60101020,601010,6010,60,531120,5311,53,6798,679,67
QDEL,35101020,351010,3510,35,325413,3254,32,2835,283,28
MSI,45201020,452010,4520,45,334220,3342,33,3663,366,36
MUR,10102020,101020,1010,10,2111,2111,21,1311,131,13
MYE,15103010,151030,1510,15,326199,3261,32,3089,308,30
VTRS,35202010,352020,3520,35,325412,3254,32,2834,283,28
BAC,40101010,401010,4010,40,522110,5221,52,6020,602,60
NCR,45202030,452020,4520,45,54151,5415,54,7370,737,73
NL,20201060,202010,2020,20,332991,3329,33,3562,356,35
NSSC,45203010,452030,4520,45,334290,3342,33,3669,366,36
NATH,25301040,253010,2530,25,311612,3116,31,2013,201,20
NFG,55102010,551020,5510,55,221210,2212,22,4924,492,49
NHC,35102020,351020,3510,35,623311,6233,62,8051,805,80
THC,35102020,351020,3510,35,622110,6221,62,8062,806,80
GPX,20202010,202020,2020,20,611430,6114,61,8200,820,82
NPK,20101010,201010,2010,20,33299,3329,33,3480,348,34
NATR,30302010,303020,3030,30,325412,3254,32,2834,283,28
NJR,55102010,551020,5510,55,221210,2212,22,4924,492,49
NYT,50201040,502010,5020,50,511110,5111,51,2711,271,27
NWL,25201050,252010,2520,25,3399,3399,33,3990,399,39
NEM,15104030,151040,1510,15,212221,2122,21,1040,104,10
NR,10101020,101010,1010,10,424690,4246,42,5160,516,51
NKE,25203020,252030,2520,25,316210,3162,31,3021,302,30
NDSN,20106020,201060,2010,20,333999,3339,33,3569,356,35
JWN,25503010,255030,2550,25,448140,4481,44,5651,565,56
NSC,20304010,203040,2030,20,482111,4821,48,4011,401,40
NC,10102050,101020,1010,10,212111,2121,21,1221,122,12
MOV,25203010,252030,2520,25,334519,3345,33,3873,387,38
ES,55101010,551010,5510,55,2211,2211,22,4931,493,49
NI,55103010,551030,5510,55,221210,2212,22,4932,493,49
XEL,55101010,551010,5510,55,2211,2211,22,4931,493,49
NTRS,40203010,402030,4020,40,522110,5221,52,6020,602,60
