gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,revt,cik,costat,ggroup,gind,gsector,gsubind,naics,sic
007648,20211231,2021,INDL,C,D,STD,NCR,NCR CORP,USD,7156.0000,0000070866,A,4510,451030,45,45103010,511210,7372
007662,20210531,2020,INDL,C,D,STD,BMRA,BIOMERICA INC,USD,7.1990,0000073290,A,3510,351010,35,35101010,325413,2835
007696,20210331,2020,INDL,C,D,STD,NATH,NATHAN'S FAMOUS INC,USD,75.8390,0000069733,A,2530,253010,25,25301040,311612,2013
007733,20210930,2021,INDL,C,D,STD,NFG,NATIONAL FUEL GAS CO,USD,1742.6590,0000070145,A,5510,551020,55,55102010,221210,4924
007750,20211231,2021,INDL,C,D,STD,THC,TENET HEALTHCARE CORP,USD,19485.0000,0000070318,A,3510,351020,35,35102020,622110,8062
007875,20211231,2021,INDL,C,D,STD,NWL,NEWELL BRANDS INC,USD,10589.0000,0000814453,A,2520,252010,25,25201050,3399,3990
007882,20211231,2021,INDL,C,D,STD,NR,NEWPARK RESOURCES,USD,614.7810,0000071829,A,1010,101010,10,10101020,424690,5160
007906,20210531,2020,INDL,C,D,STD,NKE,NIKE INC  -CL B,USD,44538.0000,0000320187,A,2520,252030,25,25203020,316210,3021
007921,20211031,2021,INDL,C,D,STD,NDSN,NORDSON CORP,USD,2362.2090,0000072331,A,2010,201060,20,20106020,333999,3569
007970,20211231,2021,INDL,C,D,STD,ES,EVERSOURCE ENERGY,USD,9863.0850,0000072741,A,5510,551010,55,55101010,2211,4931
007977,20211231,2021,INDL,C,D,STD,XEL,XCEL ENERGY INC,USD,13431.0000,0000072903,A,5510,551010,55,55101010,2211,4931
007985,20211231,2021,INDL,C,D,STD,NOC,NORTHROP GRUMMAN CORP,USD,35667.0000,0001133421,A,2010,201010,20,20101010,334511,3812
007991,20211231,2021,INDL,C,D,STD,TEX,TEREX CORP,USD,3886.8000,0000097216,A,2010,201060,20,20106010,333923,3530
007993,20211231,2021,INDL,C,D,STD,NWN,NORTHWEST NATURAL HLDNG CO,USD,860.4000,0001733998,A,5510,551020,55,55102010,221210,4924
008001,20211231,2021,INDL,C,D,STD,NWE,NORTHWESTERN CORP,USD,1372.3160,0000073088,A,5510,551030,55,55103010,22111,4931
008030,20211231,2021,INDL,C,D,STD,NUE,NUCOR CORP,USD,36483.9390,0000073309,A,1510,151040,15,15104050,331110,3312
008087,20210331,2020,INDL,C,D,STD,ITI,ITERIS INC,USD,117.1380,0000350868,A,4520,452030,45,45203010,541330,8711
008092,20210331,2020,INDL,C,D,STD,VTOL,BRISTOW GROUP INC,USD,1178.0620,0001525221,A,1010,101010,10,10101020,481211,4522
008099,20211231,2021,INDL,C,D,STD,FE,FIRSTENERGY CORP,USD,11132.0000,0001031296,A,5510,551010,55,55101010,22111,4911
008113,20211231,2021,INDL,C,D,STD,OGE,OGE ENERGY CORP,USD,3653.7000,0001021635,A,5510,551010,55,55101010,2211,4931
008123,20211231,2021,INDL,C,D,STD,OLN,OLIN CORP,USD,8910.6000,0000074303,A,1510,151010,15,15101010,325180,2810
008151,20211231,2021,INDL,C,D,STD,OKE,ONEOK INC,USD,16540.3090,0001039684,A,1010,101020,10,10102040,221210,4923
008199,20211231,2021,INDL,C,D,STD,OTTR,OTTER TAIL CORP,USD,1196.8440,0001466593,A,5510,551010,55,55101010,22111,4911
008213,20211231,2021,INDL,C,D,STD,OMI,OWENS & MINOR INC,USD,9785.3150,0000075252,A,3510,351020,35,35102010,423450,5047
008214,20211231,2021,INDL,C,D,STD,OC,OWENS CORNING,USD,8498.0000,0001370946,A,2010,201020,20,20102010,327993,3290
008215,20211231,2021,INDL,C,D,STD,OI,O-I GLASS INC,USD,6381.0000,0000812074,A,1510,151030,15,15103010,327213,3221
008247,20211231,2021,INDL,C,D,STD,PPG,PPG INDUSTRIES INC,USD,16810.0000,0000079879,A,1510,151010,15,15101050,325510,2851
008253,20211231,2021,INDL,C,D,STD,PCAR,PACCAR INC,USD,23522.3000,0000075362,A,2010,201060,20,20106010,336120,3711
008264,20211231,2021,INDL,C,D,STD,PCG,PG&E CORP,USD,20642.0000,0001004980,A,5510,551010,55,55101010,2211,4931
